SampleID	SwabID	Pig	Location	Timepoint	Date	Day	Decomp_Stage	Submerged	Temp	Salinity	ADH	Study	Day2	ADHAVG
FP61	4-3L1	4	L1	3	7/30/2018	5	Floating_Decay	NA	24.1	NA	2204.7	MSU	Five	2341
FP62	4-3L2	4	L2	3	7/30/2018	5	Floating_Decay	NA	24.1	NA	2204.7	MSU	Five	2341
FP63	4-3L3	4	L3	3	7/30/2018	5	Floating_Decay	NA	24.1	NA	2204.7	MSU	Five	2341
FP64	4-3L4	4	L4	3	7/30/2018	5	Floating_Decay	NA	24.1	NA	2204.7	MSU	Five	2341
FP65	4-3L5	4	L5	3	7/30/2018	5	Floating_Decay	NA	24.1	NA	2204.7	MSU	Five	2341
FP66	2-4L1	2	L1	4	8/3/2018	9	Floating_Decay	NA	25.1	NA	4852.9	MSU	Nine	4735.79
FP67	2-4L2	2	L2	4	8/3/2018	9	Floating_Decay	NA	25.1	NA	4852.9	MSU	Nine	4735.79
FP68	2-4L3	2	L3	4	8/3/2018	9	Floating_Decay	NA	25.1	NA	4852.9	MSU	Nine	4735.79
FP69	3-4L1	3	L1	4	8/3/2018	9	Floating_Decay	NA	25.1	NA	4755.4	MSU	Nine	4735.79
FP70	3-4L2	3	L2	4	8/3/2018	9	Floating_Decay	NA	25.1	NA	4755.4	MSU	Nine	4735.79
FP71	3-4L3	3	L3	4	8/3/2018	9	Floating_Decay	NA	25.1	NA	4755.4	MSU	Nine	4735.79
FP72	4-4L1	4	L1	4	8/3/2018	9	Floating_Decay	NA	24.9	NA	4622.4	MSU	Nine	4735.79
